Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
15300,-0.87,-28.61,-39.16,-50.65
15400,-0.89,-29.46,-41.20,
15500,-0.98,-29.50,-42.62,
15600,-1.10,-29.47,-42.40,
15700,-1.17,-30.07,-41.71,
15800,-1.21,-30.63,-41.63,
15900,-1.28,-30.65,-41.88,
16000,-1.38,-30.95,-41.55,
16100,-1.44,-31.76,-40.90,
16200,-1.53,-31.70,-41.05,
16300,-1.66,-30.15,-42.09,
16400,-1.76,-28.43,-43.79,
16500,-1.81,-27.89,-46.56,
16600,-1.85,-28.36,-49.64,
16700,-1.94,-28.89,-50.63,
16800,-2.01,-28.95,-48.64,
16900,-2.03,-28.78,-46.30,
17000,-2.01,-29.05,-46.61,
17100,-2.02,-29.89,-48.62,
17200,-2.06,-30.36,-49.24,
17300,-2.10,-29.70,-47.95,
17400,-2.14,-28.50,-46.14,
17500,-2.18,-27.74,-44.07,
17600,-2.24,-27.35,-41.83,
17700,-2.31,-26.85,-41.19,
17800,-2.41,-26.14,-43.17,
17900,-2.55,-25.26,-45.10,
18000,-2.71,-24.39,-43.99,
18100,-2.82,-23.90,-41.55,
18200,-2.83,-23.79,-41.51,
18300,-2.85,-23.53,-43.29,
18400,-3.03,-22.97,-42.84,
18500,-3.29,-22.50,-39.12,
18600,-3.50,-22.29,-35.42,
18700,-3.59,-22.08,-34.16,
18800,-3.59,-21.98,-33.98,
18900,-3.51,-22.35,-32.95,
19000,-3.36,-23.08,-31.43,
19100,-3.18,-23.68,-30.48,
19200,-3.02,-23.97,-30.20,
19300,-2.91,-24.08,-30.38,
19400,-2.86,-24.00,-30.81,
19500,-2.89,-23.57,,
19600,-3.03,-22.80,,
19700,-3.23,-21.92,,
19800,-3.44,-21.14,,
19900,-3.67,-20.58,,
20000,-3.86,-20.31,,
